"name","location.country"
"Lara Landon","United States"
"Lara Fabian","Belgium"
"Lara McAllen","United Kingdom"
"Laraaji","United States"
"Lara Martelli","Italy"
"Lardpony","United Kingdom"
"Lard","United States"
"Large Professor","United States"
"Larger Than Life","United States"
"Larkin Grimm","United States"
"Lareine","Japan"
"Larry","United States"
"Larharyhmä","Finland"
"Larnelle Harris","United States"
"Lari White","United States"
"Larry Adler","United States"
"Larrikin Love","United Kingdom"
"Larry Butler","United States"
"Larry Blackmon","United States"
"Kumar Sanu","India"
"Kult Ov Azazel","United States"
"Kultur Shock","United States"
"Kumikameli","Finland"
"Larry And His Flask","United States"
"Larry Cordle","United States"
"Larry Clinton","United States"
"Larry Dunn","United States"
"Larry Carlton","United States"
"Larry Graham","United States"
"Larry Gatlin & The Gatlin Brothers","United States"
"Larry Gatlin","United States"
"Larry Gus","Greece"
"Larry Harlow","United States"
"Larry Jon Wilson","United States"
"Larry Hernández","United States"
"Larry Kegan","United States"
"Larry Kert","United States"
"Leaf","Netherlands"
"Leah Andreone","United States"
"Leah LaBelle","United States"
"Leah Nobel","Austin"
"Leah Dizon","Japan"
"Leahy","Canada"
"Lea Salonga","Philippines"
"Kumbia Kings","United States"
"Kumm","Romania"
"Kunal Ganjawala","India"
"Kungfu Rick","Chicago"
"Kuningas Pähkinä","Finland"
"Kunsertu","Italy"
"Kuniva","United States"
"Larry McCray","United States"
"Larry Norman","United States"
"Larry Sparks","United States"
"Larry Taylor","Chicago"
"Larry Stewart","United States"
"Larry Santos","United States"
"Larry Tee","United States"
"Larry Williams","United States"
"Larry The Cable Guy","United States"
"Lars Berghagen","Sweden"
"Lars Demian","Sweden"
"Larry Weiss","United States"
"Lars Eriksson","Sweden"
"Lars Frederiksen","United States"
"Kuningasidea","Finland"
"Kunt And The Gang","United Kingdom"
"Kurd Maverick","Germany"
"Kurhaus","Germany"
"Kurnalcool","Italy"
"Kurban","Turkey"
"Kurious","United States"
"Kurt Calleja","Malta"
"Kursaal Flyers","United Kingdom"
"Kurt Angle","United States"
"Kuolleet Intiaanit","Finland"
"Kurt Bestor","United States"
"Kurt Codein","Sweden"
"Kurt Demmler","Germany"
"Kurt Elling","United States"
"Kurt Nilsen","Norway"
"Leandro & Leonardo","Brazil"
"LeAnn Rimes","United States"
"Leapy Lee","United Kingdom"
"Leathercoated Minds","United States"
"Leatherface","United Kingdom"
"Leatherwolf","United States"
"Lars Lilholt Band","Denmark"
"Lars Frederiksen And The Bastards","United States"
"Lars Winnerbäck","Sweden"
"Lars H.U.G.","Denmark"
"Laruso","United Kingdom"
"Larusso","France"
"LaRue","United States"
"Larval Stage Planning","Japan"
"Larz-Kristerz","Sweden"
"Las Ketchup","Spain"
"Kurt Ostbahn","Austria"
"Kurt Rosenwinkel","United States"
"Kurt Schwitters","Germany"
"Kurt Van Eeghem","Belgium"
"Kurt Von Stetten","Boston"
"Kurt Weill","Germany"
"Kurt Wagner","United States"
"Kurtis Blow","United States"
"Kurt Vile","United States"
"Kurtizány Z 25. Avenue","Czech Republic"
"Kurzer Prozess","Germany"
"Kutiman","Israel"
"Kurupt","United States"
"Lebanon Hanover","Germany"
"Leaves' Eyes","Germany"
"Leaves","Iceland"
"Lecrae","United States"
"Las Manos De Filippi","Argentina"
"Las Niñas","Spain"
"Las Pastillas Del Abuelo","Argentina"
"Las Pelotas","Argentina"
"Las Ultrasónicas","Mexico"
"Lasgo","Belgium"
"Las Vacas Sagradas","Argentina"
"Lash","Australia"
"Lash Out","Norway"
"Lasse Lönndahl","Sweden"
"Lassie Singers","Germany"
"Lasse Stefanz","Sweden"
"Last Autumn's Dream","Europe"
"Last Alliance","Japan"
"Last Chance","Greece"
"Last Child","Indonesia"
"Last Chance To Reason","United States"
"Lasse Lindh","Sweden"
"Last Dinosaurs","Australia"
"Last Days Of April","Sweden"
"Lecrevisse","Italy"
"Lebo M","South Africa"
"Lech Janerka","Poland"
"Led Zepagain","United States"
"Lederhosen Lucil","Canada"
"Leda Battisti","Italy"
"Led Zeppelin","United Kingdom"
"Ledisi","United States"
"Lee","Germany"
"Lee Atwater","United States"
"Lee Ann Womack","United States"
"Lee Aaron","Canada"
"Kut Klose","United States"
"KutMasta Kurt","United States"
"Kury","Poland"
"Kutschurft","Netherlands"
"Kutless","United States"
"Kuunkuiskaajat","Finland"
"Kut U Up","United States"
"Kutt Calhoun","United States"
"Kvelertak","Norway"
"Kwabs","London"
"Kuza","Pittsburgh"
"Kwamie Liv","Copenhagen"
"Kwamé","United States"
"Kwest Tha Madd Lad","United States"
"Last House On The Left","United States"
"Last Lungs","United Kingdom"
"Last Minute","Germany"
"Last Try","Cairo"
"Last Rites","United Kingdom"
"Last Train Home","United States"
"Last Tribe","Sweden"
"Last Rights","United States"
"Last Wednesday","United States"
"Last Tuesday","United States"
"Last Years Hero","Australia"
"Last Years Youth","United Kingdom"
"Lee Brice","United States"
"Lee Dorsey","United States"
"Lee DeWyze","United States"
"Lee Clayton","United States"
"Lee Evans","United Kingdom"
"Lee Fields","United States"
"Lee Hom","Taiwan"
"Lee Greenwood","United States"
"Lee Harvey Osmond","Canada"
"Lee Hazlewood","United States"
"Kwan","Finland"
"KWS","United Kingdom"
"Kwoon","France"
"Kwaya Kuu Kikosi Cha Injili","Dar es Salaam"
"Ky-Mani Marley","Jamaica"
"Kyau & Albert","Germany"
"Kygo","Norway"
"Kyla La Grange","United Kingdom"
"Kyla","Philippines"
"Kyle Andrews","United States"
"Kyle Gabler","United States"
"Lee Hom Wang","Taiwan"
"Lee Majors","United States"
"Lee Konitz","United States"
"Lee Kernaghan","Australia"
"Lee Marvin","United States"
"Lee Ritenour","United States"
"Lee Michaels","United States"
"Lee Rocker","United States"
"Lee Rogers","United Kingdom"
"Lee Roy Parnell","United States"
"Lee Ranaldo","United States"
"Lee Scratch Perry","Jamaica"
"Lee Ryan","United Kingdom"
"Lee Towers","Netherlands"
"Laszlo","United States"
"Lata Mangeshkar","India"
"Late Night Alumni","United States"
"Latee","United States"
"Late Of The Pier","United Kingdom"
"Lateef","United States"
"Lateef The Truthspeaker","United States"
"Latex Generation","United States"
"Latifa","Tunisia"
"Latexxx Teens","Italy"
"Latif","United States"
"Latimore","United States"
"Kyle Justin","Philadelphia"
"Kyle Massey","United States"
"Kyle Riabko","Canada"
"Kyle Vincent","United States"
"Kylee","Japan"
"Kyler England","United States"
"Kylesa","United States"
"Kylian Mash","France"
"Kym Mazelle","United States"
"Kylie Minogue","Australia"
"Kym Marsh","United Kingdom"
"Lee Sullivan","United Kingdom"
"Lee Ving","United States"
"Lee Young","United States"
"Lee Williams","United States"
"Leech","Switzerland"
"Lee Wiley","United States"
"Leech (EE)","Estonia"
"Leen Jongewaard","Netherlands"
"Leeland","Baytown"
"Leena Conquest","United States"
"Leela James","United States"
"Leeroy","France"
"Leeway","United States"
"Kym Sims","United States"
"Latino Velvet","United States"
"Latin Quarter","United Kingdom"
"Latino","Brazil"
"Latin Playboys","United States"
"LaTour","United States"
"LaToiya Williams","United States"
"LaToya London","United States"
"Latte","Italy"
"Latte & I Suoi Derivati","Italy"
"Leeroy Stagger","Canada"
"Leevi And The Leavings","Finland"
"Left Behind","Minas Gerais"
"Left Boy","Austria"
"Left Alone","United States"
"Left Hand Solution","Sweden"
"Left Lane Cruiser","United States"
"Left Front Tire","United States"
"Left For Dead","Hamilton"
"Latrice Barnett","New Zealand"
"Latte E Miele","Italy"
"Latterman","United States"
"Latyrx","United States"
"Lau Nau","Finland"
"Laura","Germany"
"Laugh And Peace","Japan"
"Lau","United Kingdom"
"Laura Benanti","United States"
"Laura Bell","United States"
"Laura Bell Bundy","United States"
"Laura Boosinger","United States"
"Laura Bono","Italy"
"Laura Cantrell","United States"
"Left Spine Down","Canada"
"Leftfield","United Kingdom"
"Leftover Salmon","United States"
"Leftovers For Andy","Norway"
"Lefty","United States"
"Lefty Frizzell","United States"
"Leftöver Crack","United States"
"Laura Caro","Mexico"
"Laura Bryna","United States"
"Laura Doggett","Bath"
"Laura Branigan","United States"
"Laura Flores","Mexico"
"Laura Esquivel","Argentina"
"Laura Gibson","United States"
"Laura Hackett","Kansas City"
"Laura Fygi","Netherlands"
"Laura Hocking","United Kingdom"
"Laura Imbruglia","Australia"
"Laura Lee","United States"
"Laura Jansen","Netherlands"
"Legenda Aurea","Switzerland"
"Legendary Shack Shakers","United States"
"Legends Of Rodeo","United States"
"Leger Des Heils","Germany"
"Legion","Spain"
"Legion Of The Damned","Noord-Brabant"
"Legs Diamond","United States"
"Lehmber Hussainpuri","India"
"Laura Luca","Italy"
"Laura Love","United States"
"Laura Izibor","Ireland"
"Laura Lynn","Belgium"
"Laura Mayne","France"
"Laura Marling","United Kingdom"
"Laura Mvula","United Kingdom"
"Laura Michelle Kelly","United Kingdom"
"Laura Närhi","Finland"
"Laura Nyro","United States"
"Laura Powers","Nashville"
"Laura Põldvere","Estonia"
"Laura Pausini","Italy"
"Killswitch Engage","United States"
"Lim","France"
"Lilys","United States"
"Lima","Germany"
"Limbeck","United States"
"Limahl","United Kingdom"
"Legião Urbana","Brazil"
"Leichenwetter","Iserlohn"
"Leiahdorus","United States"
"Leidungr","Sweden"
"Leif Garrett","United States"
"Leif Edling","Sweden"
"Leighton Meester","United States"
"Leigh Nash","United States"
"Leijonamieli & Putkimiehet","Finland"
"Leila Forouhar","Iran"
"Limblifter","Canada"
"Lime Spiders","Australia"
"Limmie & The Family Cooking","United States"
"Limits & Lines","United States"
"Limozeen","United States"
"Lime","Quebec"
"Limonadi Elohopea","Finland"
"Limp Wrist","United States"
"Lin Que","United States"
"Limp Bizkit","United States"
"Laura Story","United States"
"Laura V","United Kingdom"
"Laura Voutilainen","Finland"
"Laura Veirs","United States"
"Laurel","London"
"Laure Milan","France"
"Laurel Aitken","Jamaica"
"Laurel Music","Sweden"
"Lauren","United States"
"Lauren Alaina","United States"
"Lauren Daigle","United States"
"Lauren Cohan","United States"
"Leila K","Sweden"
"Leila","United Kingdom"
"Leila Pinheiro","Brazil"
"Leisure","Auckland"
"Leila K.","Sweden"
"Leinemann","Germany"
"Leiva","Spain"
"Lemaitre","Norway"
"Leman Sam","Turkey"
"Lemar","United Kingdom"
"Lemon","Belgium"
"Lemmy","Los Angeles"
"Lemmy Kilmister","Los Angeles"
"Lemon Jelly","United Kingdom"
"Lauren Aquilina","United Kingdom"
"Lauren Evans","United States"
"Lauren Hill","United States"
"Lauren Christy","United Kingdom"
"Lauren Lucas","United States"
"Lauren Shera","United States"
"Lauren Hoffman","United States"
"Lauren Pritchard","United States"
"Laurent Garnier","France"
"Laurence Jalbert","Quebec"
"Lauren Wood","United States"
"Laurent Voulzy","France"
"Lemon Joy","Lithuania"
"Lemon Sun","United States"
"Lemonade","United States"
"Lemonator","Finland"
"Lemuria","United States"
"Len","Canada"
"Lemur Voice","Netherlands"
"Lena Burke","Cuba"
"Lemuria (BE)","Belgium"
"Len Barry","United States"
"Lena D'Água","Portugal"
"Lena Ka","France"
"Lena Fayre","Los Angeles"
"Lena Horne","United States"
"Lin Jaldati","East Germany"
"Lina","United States"
"Lina Nyberg","Sweden"
"Lina Santiago","United States"
"Lina Sastri","Italy"
"Lina Morgana","United States"
"Lincoln Brewster","United States"
"Lincoln","United States"
"Linda","Italy"
"Linda Clifford","United States"
"Linda Gail Lewis","United States"
"Linda Jones","United States"
"Linda Eder","United States"
"Linda Davis","United States"
"Linda Lyndell","United States"
"Laurent Wolf","France"
"Laurence Juber","United Kingdom"
"Lauri","Finland"
"Lauri Tähkä & Elonkerjuu","Finland"
"Lauriana Mae","United States"
"Lauri Tähkä","Finland"
"Laurie Freelove","United States"
"Laurie Lewis","United States"
"Lauris Reiniks","Latvia"
"Lautari","Italy"
"Lauryn Hill","United States"
"Lena Meyer-Landrut","Germany"
"Lena Katina","Russia"
"Lendakaris Muertos","Spain"
"Lene","Norway"
"Lena Philipsson","Sweden"
"Lena Park","South Korea"
"Linda Lewis","United Kingdom"
"Linda Martini","Portugal"
"Linda Roos En Jessica","Netherlands"
"Linda Perhacs","United States"
"Linda Purl","United States"
"Linda Strawberry","United States"
"Linda Perry","United States"
"Linda Thompson","United Kingdom"
"Linda Ronstadt","United States"
"Laus Høybye","Denmark"
"Laurika Rauch","South Africa"
"Lava Hay","Canada"
"LaVerne Butler","United States"
"LaVern Baker","United States"
"Lavender Diamond","United States"
"LAW","Germany"
"Lawnmower Deth","United Kingdom"
"Linda Wagenmakers","Netherlands"
"Linda Tillery & The Cultural Heritage Choir","United States"
"Linda, Roos & Jessica","Netherlands"
"Lindberg","Japan"
"Lindemann","Germany"
"Lindi Ortega","Canada"
"Lindisfarne","United Kingdom"
"Lindsay Lohan","United States"
"Lindsay Robins","Canada"
"Lindsay Pagano","United States"
"Lengsel","Norway"
"Lene Nystrom","Norway"
"Lene Lovich","United States"
"Lene Marlin","Norway"
"Leningrad 44","Germany"
"Leningrad Cowboys","Finland"
"Leng Tch'e","Belgium"
"Lenine","Brazil"
"Length Of Time","Belgium"
"Lenne Broberg","Sweden"
"Lenka","Australia"
"Lennie Hayton","United States"
"Leniwiec","Poland"
"Lennie Gallant","Canada"
"Lindsay Wynn","United States"
"Lindsey Buckingham","United States"
"Lindsey Pavao","United States"
"Lindstrøm","Norway"
"Lindsey Stirling","United States"
"Lindy Layton","United Kingdom"
"Line Renaud","France"
"Linear","United States"
"Linford Detweiler","United States"
"Lingua Mortis Orchestra","Germany"
"Linea 77","Italy"
"Lennie Hayton & His Orchestra","United States"
"Lennon Murphy","United States"
"Lenny","Germany"
"Lennon","United States"
"Lennox","Puerto Rico"
"Lenny Bruce","United States"
"Lenny Cooper","United States"
"Lenny Fontana","United States"
"Lenny Kaye","United States"
"Lenny Breau","United States"
"Lenny Welch","United States"
"Lenny LeBlanc","United States"
"Lenola","United States"
"Lenny Williams","United States"
"Lenny White","United States"
"Lenny Wolf","Germany"
"Lento Violento Man","Italy"
"Lentil","United Kingdom"
"Leny Andrade","Brazil"
"Lenny Kravitz","United States"
"Laveerre","Finland"
"Lingua","Stockholm"
"Link","Japan"
"Linked Horizon","Japan"
"Link 80","United States"
"Link Wray","United States"
"Linkin Park","United States"
"Lino","Australia"
"Lino Calone","Italy"
"Linnea Henriksson","Sweden"
"Linus","United Kingdom"
"Linoleum","United Kingdom"
"Linton Kwesi Johnson","United Kingdom"
"Leo Aberer","Austria"
"Leo García","Argentina"
"Leo Gandelman","Brazil"
"Leo Jiménez","Spain"
"Leny Escudero","France"
"Leo Genovese","Argentina"
"Leo Maslíah","Uruguay"
"Leo Mattioli","Argentina"
"Leo Kottke","United States"
"Leo Jaime","Brazil"
"Leo Reisman","United States"
"Leo Reisman & His Orchestra","United States"
"Leo Monosson","Germany"
"Leo Sayer","United Kingdom"
"Leon Bolier","Netherlands"
"Leon Bibb","United States"
"Leon Bridges","United States"
"Leon Haywood","United States"
"Leon Ndugu Chancler","United States"
"Leon Rosselson","United Kingdom"
"Leon Patillo","United States"
"Leon Thomas III","United States"
"Leon Redbone","United States"
"Lawrence Brown","United States"
"Lawrence Arabia","New Zealand"
"Lawrence Welk","United States"
"Lay Low","Iceland"
"Lax'n'Busto","Spain"
"Lawson","United Kingdom"
"Layo & Bushwacka!","United Kingdom"
"Layo And Bushwacka","United Kingdom"
"Laymen Terms","United States"
"Laza Morgan","United States"
"Lazarus","United States"
"Lazerhawk","United States"
"Lazarus A.D.","United States"
"Lazee","Sweden"
"Layzie Bone","United States"
"LInvasione Degli Omini Verdi","Italy"
"Linus Of Hollywood","United States"
"Lion Babe","New York"
"Lion Of Judah","London"
"Lionel Cartwright","United States"
"Lio","Belgium"
"Lionel Bart","United Kingdom"
"Lionel Ferbos","New Orleans"
"Lion's Share","Sweden"
"Leonard","New Zealand"
"Leon Russell","United States"
"Leon Ware","United States"
"Leona Naess","United Kingdom"
"Leona Lewis","United Kingdom"
"Leonard Bernstein","United States"
"Leonard Cohen","Canada"
"Lionel Hampton","United States"
"Lionel Richie & Trijntje Oosterhuis","United States"
"Lionel Richie","United States"
"Lions","Ontario"
"Lionrock","United Kingdom"
"Lioness","United Kingdom"
"Lior","Australia"
"Lipps, Inc.","United States"
"Lipali","Poland"
"Lazlo Bane","United States"
"Lazy Lou's Boogie","Japan"
"Lazycain","United States"
"Lazy Lester","United States"
"Lb","Finland"
"Laïs","Belgium"
"LBC Crew","United States"
"LCMDF","Finland"
"LCD Soundsystem","United States"
"Leonard Joy","United States"
"Leonardo Favio","Argentina"
"Leonel García","Mexico"
"Leonard Nimoy","Los Angeles"
"Leoni","Brazil"
"Leonardo","Brazil"
"Leone Di Lernia","Italy"
"Le Bavar & Ekoue","France"
"Le Baron","Mexico"
"LD","United States"
"Le 3ème Œil","France"
"Le Butcherettes","Mexico"
"Le Braghe Corte","Italy"
"Le Cassette","United States"
"Le Couple","Japan"
"Le Disc","United States"
"Le Grand Jojo","Belgium"
"Le Grand Guignol","Luxembourg"
"Le Le","Netherlands"
"Le Man Avec Les Lunettes","Italy"
"Le Matos","Montreal"
"Le Loup","United States"
"Le Grand Orchestre Du Splendid","France"
"Le Luci Della Centrale Elettrica","Italy"
"Leprosy","Mexico"
"Leprous","Norway"
"Leroy Anderson","United States"
"Lera Lynn","United States"
"Leroy Foster","United States"
"Leroy Holmes & His Orchestra","United States"
"Leroy Carr","United States"
"LEO今井","Japan"
"Leroy Vinnegar","United States"
"Leroy Hutson","United States"
"Leroy Vinnegar Sextet","United States"
"Leroy Williams","United Kingdom"
"Leroy Van Dyke","United States"
"Lerryn","Germany"
"Les Anarchistes","Italy"
"Les Acrobates","France"
"Les Ablettes","France"
"Les Anges De La Nuit","Florida"
"Les Avions","France"
"Les Baxter & His Orchestra","United States"
"Les Baxter","United States"
"Les BB","Quebec"
"Les Betteraves","France"
"Les Blaireaux","France"
"Les Blue Stars","France"
"Les Cadavres","France"
"Les Brown","United States"
"Les Blérots De R.A.V.E.L.","France"
"Les Caméléons","France"
"Les Castafiores","France"
"Les Cautionneurs","France"
"Les Charlots","France"
"Le Mani","Italy"
"Le Mystère Des Voix Bulgares","Bulgaria"
"Le Peuple De L'herbe","France"
"Le Orme","Italy"
"Le Rat Luciano","France"
"Le Maximum Kouette","France"
"Le Roux","United States"
"Le Shok","United States"
"Le Strisce","Italy"
"Le Soldat Pony","California"
"Le Tigre","United States"
"Le Vent Du Nord","Canada"
"Le Vibrazioni","Italy"
"Les Chats Sauvages","France"
"Les Charbonniers De L'Enfer","Canada"
"Les Chaussettes Noires","France"
"Les Choristes","France"
"Les Claypool And The Holy Mackerel","United States"
"Les Claypool","United States"
"Les Colocs","Quebec"
"Les Conards","France"
"Les Compagnons De La Chanson","France"
"Les Crane","United States"
"Les Croquants","France"
"Les Denis Drolet","Canada"
"Les Dales Hawerchuk","Canada"
"Les Discrets","France"
"Les Elgart & His Orchestra","United States"
"Les Dudek","United States"
"Les Doigts De L'Homme","France"
"Les Enfoirés","France"
"Les Elles","France"
"Les Fleur De Lys","United Kingdom"
"Les Forbans","France"
"Les Fradkin","United States"
"Les Frères Jacques","France"
"Les Fatals Picards","France"
"Liquid Gold","United Kingdom"
"Liquid Liquid","United States"
"Liquid Divine","Germany"
"Liquid","Belgium"
"Liquid Tension Experiment","United States"
"Liquits","Mexico"
"Liquido","Germany"
"Lira Yin","United States"
"Lira","South Africa"
"Lisa","Italy"
"Liroy","Poland"
"LiSA","Japan"
"Lisa ""Left Eye"" Lopes","United States"
"Lisa (JP)","Japan"
"Lisa Bassenge","Germany"
"Lisa Bund","Germany"
"Lisa Crawley","New Zealand"
"Lisa Brokop","Canada"
"Lisa Del Bo","Belgium"
"Lisa Fischer","United States"
"Lisa Ekdahl","Sweden"
"Lisa Gerrard","Australia"
"Les Gray","United Kingdom"
"Les Goristes","France"
"Les Jumo","Paris"
"Les Inconnus","France"
"Les Humphries Singers","Germany"
"Les Marmottes Aplaties","Canada"
"Les Luthiers","Argentina"
"Lisa Hartman","United States"
"Lisa Hannigan","Ireland"
"Lisa Keith","United States"
"Lisa Germano","United States"
"Lisa Kekaula","United States"
"Lisa Kirk","United States"
"Lisa Kudrow","United States"
"Lisa Lambert","United States"
"Lisa Lavie","Canada"
"Lisa Lisa","United States"
"Lisa Lisa & Cult Jam","United States"
"Lisa Lynne","United States"
"Lisa Lois","Netherlands"
"Lisa Loeb","United States"
"Lisa Maffia","United Kingdom"
"Les Mauvaises Langues","France"
"Les Nubians","France"
"Les McCann","United States"
"Les Paul","United States"
"Les Paul & Mary Ford","United States"
"Les Petits Chanteurs De Saint-Marc","France"
"Les Négresses Vertes","France"
"Les Ogres De Barback","France"
"Le1f","United States"
"Le'Andria Johnson","United States"
"Le Youth","Los Angeles"
"Lea DeLaria","United States"
"Lea Laven","Finland"
"Lea Rue","Belgium"
"Lea Michele","United States"
"Lead Belly","United States"
"Lead Into Gold","United States"
"Lead","Japan"
"Leah","United Kingdom"
"Leaders Of The New School","United States"
"Lisa Marie Presley","United States"
"Lisa Maxwell","Australia"
"Lisa Mychols","United States"
"Lisa Mitchell","Australia"
"Lisa Ono","Japan"
"Lisa Miskovsky","Sweden"
"Lisa Nilsson","Sweden"
"Lisa Portelli","France"
"Lisa Shaw","Brooklyn"
"Lisa Scott Lee","United Kingdom"
"Lisa Simone","France"
"Lisa Stokke","Norway"
"Les Porte Mentaux","France"
"Les Poppys","France"
"Les Respectables","Quebec"
"Les Rythmes Digitales","United Kingdom"
"Les Rita Mitsouko","France"
"Les Sans Culottes","United States"
"Les Sauterelles","Switzerland"
"Les Quatre Barbus","France"
"Les Thugs","France"
"Les Stentors","France"
"Les Savy Fav","United States"
"Lisa Stansfield","United Kingdom"
"Lisbee Stainton","United Kingdom"
"Lise Ringheim","Denmark"
"Lisandro Aristimuño","Argentina"
"Lisi","Germany"
"Lite","Japan"
"Lita","United States"
"Lisette Melendez","United States"
"Lissie","United States"
"Lit","United States"
"Lissy Trullie","United States"
"Listener","United States"
"Lita Ford","United States"
"Lito Vitale","Argentina"
"Lito Atalaia","São Paulo"
"Litmus Green","United States"
"Litfiba","Italy"
"Little","France"
"Lito Y Polaco","Puerto Rico"
"Les Trois Accords","Canada"
"Les Tit' Nassels","France"
"Les Valentins","France"
"Les Vieilles Valises","France"
"Les Vieilles Salopes","France"
"Les VRP","France"
"Lesbian","United States"
"Lesbian Bed Death","United Kingdom"
"Les Wampas","France"
"Les Wriggles","France"
"Littl'ans","United Kingdom"
"Little Annie","United States"
"Little Aida","Australia"
"Little Anthony","United States"
"Little Anthony & The Imperials","United States"
"Little Angels","United Kingdom"
"Little Axe","United States"
"Little Bitchard","Finland"
"Little Boots","United Kingdom"
"Little Birdy","Australia"
"Little Barrie","United Kingdom"
"Little Bruce","United States"
"Little Big Town","United States"
"Little By Little","Japan"
"Les Yeux D'La Tête","France"
"Les Yeux Noirs","France"
"Lescop","France"
"Leshaun","United States"
"Lesley Duncan","United Kingdom"
"Lesiëm","Germany"
"Leslie And The Badgers","United States"
"Lesley Gore","United States"
"Lesley Garrett","United Kingdom"
"Leslie Bricusse","United Kingdom"
"Leslie Clio","Germany"
"Leslie Carter","United States"
"Leslie French","United States"
"Leslie","France"
"Leslie Hunt","United States"
"Little Brother Montgomery","United States"
"Little Brother","United States"
"Little Caesar","United States"
"Little Comets","United Kingdom"
"Little Daylight","United States"
"Little Dragon","Sweden"
"Little Gentlemen","United States"
"Little Eva","United States"
"Little G Weevil","Atlanta"
"Little Fish","United Kingdom"
"Little Hell","United Kingdom"
"Little Jack Little","United States"
"Little Girls","Canada"
"Little Feat","United States"
"Little Jinder","Sweden"
"Little Jimmy Osmond","United States"
"Little Jackie","United States"
"Little Jimmy Dickens","United States"
"Leslie Fish","United States"
"Leslie Low","Singapore"
"Leslie Mendelson","United States"
"Leslie Uggams","United States"
"Less","United States"
"Leslie West","United States"
"Less Than Jake","United States"
"Lester Bowie","United States"
"Lester Flatt","United States"
"Lester Roy","United States"
"Leszcze","Poland"
"Lester Young","United States"
"Let 3","Croatia"
"Let Me Introduce You To The End","Cameroon"
"Let It Flow","Turkey"
"Let Loose","United Kingdom"
"Leteči Potepuhi","Slovenia"
"Let's Buy Happiness","United Kingdom"
"Let's Active","United States"
"Let's Go Sailing","United States"
"Let's Wrestle","United Kingdom"
"Lethal Bizzle","United Kingdom"
"Lethal Bizzle & Fire Camp","United Kingdom"
"Let's Go Bowling","United States"
"Little Johnny Taylor","United States"
"Little Louie Vega","United States"
"Little May","Australia"
"Little Man Tate","United Kingdom"
"Little Nell","Australia"
"Little Nemo","France"
"Little Mix","United Kingdom"
"Little Milton","United States"
"Little Red","Melbourne"
"Little Sonny","United States"
"Little Scream","Montreal"
"Little Richard","Lynchburg"
"Little River Band","Australia"
"Little Steven & The Disciples Of Soul","United States"
"Little T & One Track Mike","United States"
"Little Tony","San Marino"
"Little Village","United States"
"Little Steven","United States"
"Little Texas","United States"
"Little Willie Littlefield","United States"
"Little Willie John","United States"
"Little Wings","United States"
"Lethargia","Russia"
"Lethian Dreams","Paris"
"LeToya","United States"
"Letlive","United States"
"Lets Wrestle","United Kingdom"
"Lets Grow","Serbia"
"Letter To The Exiles","United States"
"Letter Kills","United States"
"Letto","Indonesia"
"Letters To Cleo","United States"
"Levante","Italy"
"Letzte Instanz","Germany"
"Little Walter","United States"
"Little Wolf Band","United States"
"Little-T And One Track Mike","United States"
"Littles","United States"
"Litzy","Mexico"
"Litvintroll","Belarus"
"Liva","Canada"
"Live","Germany"
"Liv Kristine","Norway"
"Level 42","United Kingdom"
"Leverage","Finland"
"Levellers","United Kingdom"
"LeVert","United States"
"Levent Yüksel","Turkey"
"Live Report","United Kingdom"
"Live Squad","United States"
"Livin' Joy","Italy"
"LiveonRelease","Canada"
"Living Death","Germany"
"Lividity","United States"
"Livin' Blues","Netherlands"
"Living Hell","United States"
"Living In A Box","United Kingdom"
"Living Colour","United States"
"Levi Lowrey","Georgia"
"Levitation","United Kingdom"
"Levi Weaver","United States"
"Leviathan","United States"
"Leviathan (TR)","Turkey"
"Leviathan (US)","Littleton"
"Leviticus","United Kingdom"
"Levy","Poland"
"Lewis","United States"
"Lew Stone","United Kingdom"
"Levon Helm","United States"
"Lewis Black","United States"
"Lewd Acts","United States"
"Lewis & Clarke","United States"
"Lewis Carroll","United Kingdom"
"Lewis Furey","Canada"
"Lewis Taylor","United Kingdom"
"Living Legends","United States"
"Living Syndication","United States"
"Living Things","United States"
"Living Sacrifice","United States"
"Livingston Taylor","United States"
"Livingston","United Kingdom"
"Lex De Azevedo","United States"
"Lex Humphries","United States"
"Lex Luger","United States"
"Lex Land","United States"
"Lex Talionis","France"
"Lexer","Germany"
"Lexicon","Germany"
"Lexy & K-Paul","Germany"
"Lexxus","Jamaica"
"Leyenda","Spain"
"Livio","United States"
"Livvi Franc","Barbados"
"Liz","United States"
"Livores Mortis","Czech Republic"
"Liz Damon's Orient Express","United States"
"Liyana Fizi","Malaysia"
"Liz Callaway","United States"
"Liz Anderson","United States"
"Liz Green","United Kingdom"
"Liz Durrett","United States"
"Liz McClarnon","United Kingdom"
"Liz Kay","Netherlands"
"Liz Longley","United States"
"Liz Story","United States"
"Lizard","New Zealand"
"Liza Anne","Nashville"
"Liz Phair","United States"
"Lez Zeppelin","United States"
"Leño","Spain"
"Leæther Strip","Denmark"
"LI","Besançon"
"León Gieco","Argentina"
"LFO","United Kingdom"
"León Larregui","Mexico"
"Liah","Brazil"
"Lhasa","Canada"
"Lia","Japan"
"Liam Bailey","United Kingdom"
"Liaisons Dangereuses","Germany"
"Lia Ices","United States"
"Liam Clancy","Ireland"
"Liam Frost","United Kingdom"
"Liam Finn","New Zealand"
"Lian Ross","Germany"
"Liam Frost & The Slowdown Family","United Kingdom"
"Liane Augustin","Austria"
"Liane Foly","France"
